ACFT_SERIES,ICAO,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE,ENGINE_ID
A300B2 103,A30B,CF6-50C,2,A30B,A300B4-203,J,3GE070
A300B2 1C,A30B,CF6-50C2,2,A30B,A300B4-203,J,3GE074
A300B2 203,A30B,CF6-50C2,2,A30B,A300B4-203,J,3GE074
A300B2 2C,A30B,CF6-50C2,2,A30B,A300B4-203,J,3GE074
A300B2K 3C,A30B,CF6-50C2,2,A30B,A300B4-203,J,3GE074
A300B4 103,A30B,CF6-50C2,2,A30B,A300B4-203,J,3GE074
A300B4 103 F,A30B,CF6-50C2,2,A30B,A300B4-203,J,3GE074
A300B4 203,A30B,CF6-50C2,2,A30B,A300B4-203,J,3GE074
A300B4 203 F,A30B,CF6-50C2,2,A30B,A300B4-203,J,3GE074
A300B4 601,A306,CF6-80C2A1,2,A306,A300B4-601,J,2GE036
A300B4 603,A306,CF6-80C2A3,2,A306,A300B4-601,J,2GE038
A300B4 605R,A306,CF6-80C2A5,2,A306,A300B4-601,J,2GE039
A300B4 605R F,A306,CF6-80C2A5,2,A306,A300B4-601,J,2GE039
A300B4 608ST,A3ST,CF6-80C2A8,2,A3ST,A300B4-608ST,J,2GE040
A300B4 620,A306,JT9D-7R4H1,2,A306,A300B4-622,J,1PW030
A300B4 622 F,A306,PW4158,2,A306,A300B4-622,J,1PW048
A300B4 622R,A306,PW4158,2,A306,A300B4-622,J,1PW048
A300B4 622R F,A306,PW4158,2,A306,A300B4-622,J,1PW048
A300C4 203 F,A30B,CF6-50C2,2,A30B,A300B4-203,J,3GE074
A300C4 605F,A306,CF6-80C2A5F,2,A306,A300B4-601,J,3GE056
A300C4 620,A306,JT9D-7R4H1,2,A306,A300B4-622,J,1PW030
A300F4 203,A30B,CF6-50C2,2,A30B,A300B4-203,J,3GE074
A300F4 605R,A306,CF6-80C2A5F,2,A306,A300B4-601,J,3GE056
A300F4 622R,A306,PW4158,2,A306,A300B4-622,J,1PW048
A310 203,A310,CF6-80A3,2,A310,A310-204,J,1GE013
A310 203 F,A310,CF6-80A3,2,A310,A310-204,J,1GE013
A310 204,A310,CF6-80C2A2,2,A310,A310-204,J,2GE037
A310 221 F,A310,JT9D-7R4D1,2,A310,A310-222,J,1PW026
A310 222,A310,JT9D-7R4E1,2,A310,A310-222,J,1PW027
A310 222 F,A310,JT9D-7R4E1,2,A310,A310-222,J,1PW027
A310 304,A310,CF6-80C2A2,2,A310,A310-308,J,2GE037
A310 304 F,A310,CF6-80C2A2,2,A310,A310-308,J,2GE037
A310 304ET,A310,CF6-80C2A2,2,A310,A310-308,J,2GE037
A310 304MRTT,A310,CF6-80C2A2,2,A310,A310-308,J,2GE037
A310 308,A310,CF6-80C2A2,2,A310,A310-308,J,2GE037
A310 308 F,A310,CF6-80C2A8,2,A310,A310-308,J,2GE040
A310 322,A310,JT9D-7R4E1,2,A310,A310-322,J,1PW027
A310 322ET,A310,JT9D-7R4E1,2,A310,A310-322,J,1PW027
A310 324,A310,PW4152,2,A310,A310-324,J,1PW045
A310 324 F,A310,PW4152,2,A310,A310-324,J,1PW045
A310 324ET,A310,PW4152,2,A310,A310-324,J,1PW045
A310 324ET F,A310,PW4152,2,A310,A310-324,J,1PW045
A310 325,A310,PW4156A,2,A310,A310-324,J,1PW047
A310 325ET,A310,PW4156A,2,A310,A310-324,J,1PW047
A318 111,A318,CFM56-5B8/P,2,A318,A318-112,J,7CM048
A318 111 ELITE,A318,CFM56-5B8/P,2,A318,A318-112,J,7CM048
A318 112,A318,CFM56-5B8/P,2,A318,A318-112,J,7CM048
A318 112 ELITE,A318,CFM56-5B8/P,2,A318,A318-112,J,7CM048
A318 121,A318,PW6122,2,A318,A318-112,J,7PW083
A318 122,A318,PW6124A,2,A318,A318-112,J,7PW084
A319 111,A319,CFM56-5B5/P,2,A319,A319-114,J,3CM027
A319 112,A319,CFM56-5B6/P,2,A319,A319-114,J,3CM028
A319 112 SL,A319,CFM56-5B6/P,2,A319,A319-114,J,3CM028
A319 112X,A319,CFM56-5B5/P,2,A319,A319-114,J,3CM027
A319 113,A319,CFM56-5A4,2,A319,A319-114,J,4CM035
A319 114,A319,CFM56-5A5,2,A319,A319-114,J,4CM036
A319 115,A319,CFM56-5B7/P,2,A319,A319-114,J,6CM044
A319 115 SL,A319,CFM56-5B6/P,2,A319,A319-114,J,3CM028
A319 115LR,A319,CFM56-5B7/P,2,A319,A319-114,J,6CM044
A319 115X,A319,CFM56-5B5/P,2,A319,A319-114,J,3CM027
A319 115X SL,A319,CFM56-5B7/P,2,A319,A319-114,J,6CM044
A319 131,A319,V2522-A5,2,A319,A319-131,J,3IA006
A319 132,A319,V2524-A5,2,A319,A319-131,J,3IA007
A319 132 SL,A319,V2524-A5,2,A319,A319-131,J,3IA007
A319 132LR,A319,V2522-A5,2,A319,A319-131,J,3IA006
A319 132X,A319,V2524-A5,2,A319,A319-131,J,3IA007
A319 133,A319,V2527M-A5,2,A319,A319-131,J,8IA009
A319 133 SL,A319,V2527M-A5,2,A319,A319-131,J,8IA009
A319 133LR,A319,V2527-A5,2,A319,A319-131,J,1IA003
A319 133X,A319,V2527-A5,2,A319,A319-131,J,1IA003
A319 153N,A19N,LEAP-1A26,2,A20N,,J,01P20CM128
A319 153N CJ,A19N,LEAP-1A26,2,A20N,,J,01P20CM128
A320 111,A320,CFM56-5A1,2,A320,A320-212,J,1CM008
A320 211,A320,CFM56-5A1,2,A320,A320-212,J,1CM008
A320 211 SL,A320,CFM56-5A3,2,A320,A320-212,J,1CM009
A320 212,A320,CFM56-5A3,2,A320,A320-212,J,1CM009
A320 214,A320,CFM56-5B4/P,2,A320,A320-214,J,3CM026
A320 214 SL,A320,CFM56-5B4/P,2,A320,A320-214,J,3CM026
A320 214X,A320,CFM56-5B4/P,2,A320,A320-214,J,3CM026
A320 214X SL,A320,CFM56-5B4/P,2,A320,A320-214,J,3CM026
A320 216,A320,CFM56-5B6/P,2,A320,A320-214,J,3CM028
A320 216 SL,A320,CFM56-5B6/P,2,A320,A320-214,J,3CM028
A320 231,A320,V2500-A1,2,A320,A320-231,J,1IA001
A320 232,A320,V2527-A5,2,A320,A320-232,J,1IA003
A320 232 P2F,A320,V2527-A5,2,A320,A320-232,J,1IA003
A320 232 SL,A320,V2527-A5,2,A320,A320-232,J,1IA003
A320 232X,A320,V2527-A5,2,A320,A320-232,J,1IA003
A320 232X SL,A320,V2527-A5,2,A320,A320-232,J,1IA003
A320 233,A320,V2527E-A5,2,A320,A320-232,J,8IA010
A320 233 SL,A320,V2527E-A5,2,A320,A320-232,J,8IA010
A320 251N,A20N,LEAP-1A26,2,A20N,A320-271N,J,01P20CM128
A320 251N ACJ,A20N,LEAP-1A26,2,A20N,A320-271N,J,01P20CM128
A320 252N,A20N,LEAP-1A24,2,A20N,A320-271N,J,01P20CM127
A320 271N,A20N,PW1127G-JM,2,A20N,A320-271N,J,01P22PW163
A320 272N,A20N,PW1124G-JM,2,A20N,A320-271N,J,01P22PW160
A321 111,A321,CFM56-5B1,2,A321,A321-111,J,2CM012
A321 112,A321,CFM56-5B2,2,A321,A321-111,J,2CM013
A321 131,A321,V2530-A5,2,A321,A321-131,J,1IA005
A321 211,A321,CFM56-5B3/P,2,A321,A321-111,J,3CM025
A321 211 P2F,A321,CFM56-5B3/P,2,A321,A321-111,J,3CM025
A321 211 PCF,A321,CFM56-5B3/P,2,A321,A321-111,J,3CM025
A321 211 SL,A321,CFM56-5B3/P,2,A321,A321-111,J,3CM025
A321 212,A321,CFM56-5B1/2P,2,A321,A321-111,J,3CM020
A321 213,A321,CFM56-5B2,2,A321,A321-111,J,2CM013
A321 213 SL,A321,CFM56-5B2,2,A321,A321-111,J,2CM013
A321 231,A321,V2533-A5,2,A321,A321-131,J,3IA008
A321 231 P2F,A321,V2533-A5,2,A321,A321-131,J,3IA008
A321 231 PCF,A321,V2533-A5,2,A321,A321-131,J,3IA008
A321 231 SL,A321,V2533-A5,2,A321,A321-131,J,3IA008
A321 232,A321,V2530-A5,2,A321,A321-131,J,1IA005
A321 232 PCF,A321,V2530-A5,2,A321,A321-131,J,1IA005
A321 232 SL,A321,V2530-A5,2,A321,A321-131,J,1IA005
A321 251N,A21N,LEAP-1A32,2,A21N,,J,01P20CM132
A321 251NX,A21N,LEAP-1A32,2,A21N,,J,01P20CM132
A321 251NX LR,A21N,LEAP-1A32,2,A21N,,J,01P20CM132
A321 251NY XLR,A21N,LEAP-1A32,2,A21N,,J,01P20CM132
A321 252NX,A21N,LEAP-1A30,2,A21N,,J,01P20CM132
A321 253N,A21N,LEAP-1A33,2,A21N,,J,01P20CM132
A321 253NX,A21N,LEAP-1A33,2,A21N,,J,01P20CM132
A321 253NX LR,A21N,LEAP-1A33,2,A21N,,J,01P20CM132
A321 253NY XLR,A21N,LEAP-1A32,2,A21N,,J,01P20CM132
A321 271N,A21N,PW1133G-JM,2,A21N,,J,01P22PW167
A321 271NX,A21N,PW1133G-JM,2,A21N,,J,01P22PW167
A321 271NXLR,A21N,PW1133G-JM,2,A21N,,J,01P22PW167
A321 272N,A21N,PW1130G-JM,2,A21N,,J,01P22PW165
A321 272NX,A21N,PW1130G-JM,2,A21N,,J,01P22PW165
A330 201,A332,CF6-80E1A2,2,A332,A330-203,J,2GE051
A330 201 MRTT,A332,CF6-80E1A2,2,A332,A330-203,J,2GE051
A330 202,A332,CF6-80E1A4,2,A332,A330-203,J,4GE081
A330 202 P2F,A332,CF6-80E1A3,2,A332,A330-203,J,5GE085
A330 202MRTT,A332,CF6-80E1A3,2,A332,A330-203,J,5GE085
A330 203,A332,CF6-80E1A3,2,A332,A330-203,J,5GE085
A330 203MRTT,A332,CF6-80E1A3,2,A332,A330-203,J,5GE085
A330 223,A332,PW4168A,2,A332,A330-223,J,7PW082
