ICAO,ENGINE_ID
A148,13ZM003
A19N,01P22PW163
A20N,01P22PW163
A21N,01P20CM132
A306,1PW048
A30B,1GE007
A310,1PW027
A318,7CM049
A319,1IA001
A320,1IA001
A321,3IA008
A332,4PW067
A333,4PW067
A337,3RR029
A338,04P24RR146
A339,02P23RR141
A343,2CM015
A346,8RR045
A358,01P18RR125
A359,01P21RR125
A35K,01P21RR125
A388,9EA001
A3ST,1GE021
AN72,1ZM001
B38M,01P20CM138
B39M,01P20CM138
B463,1TL003
B701,1PW001
B703,1PW001
B721,1PW008
B731,01P20CM138
B732,1PW008
B733,1CM007
B734,1CM007
B735,1CM007
B736,3CM031
B737,2CM015
B738,2CM015
B739,3CM034
B741,8PW088
B742,1RR011
B743,1PW029
B744,1RR010
B748,13GE157
B74S,8PW088
B752,1RR011
B753,3RR034
B762,1PW026
B763,5GE085
B764,5GE085
B772,3GE060
B773,2RR024
B77L,01P21GE217
B77W,01P21GE217
B778,01P21GE217
B779,01P21GE217
B788,02P23RR138
B789,02P23RR138
B78X,02P23RR138
BCS1,16PW111
BCS3,16PW111
C550,1PW037
C560,1PW037
C650,1AS002
C680,7PW077
C68A,7PW077
C700,01P18HN013
C750,6AL024
CL30,11HN003
CL35,01P14HN011
CL60,10GE130
CRJ2,01P05GE189
CRJ7,01P11GE202
CRJ9,01P08GE190
CRJX,01P08GE193
E135,01P10AL033
E145,6AL006
E170,01P08GE197
E190,10GE130
E195,10GE130
E290,04P20PW200
E295,04P20PW201
E35L,6AL006
E545,11HN003
E550,01P14HN016
E55P,01P14HN016
E75L,01P08GE197
E75S,01P08GE197
F100,1RR020
F2TH,01P07PW146
F900,1AS001
FA10,1AS002
FA50,1AS002
FA7X,03P16PW192
FA8X,03P15PW193
G280,01P11HN012
GA5C,01P22PW142
GA6C,01P22PW141
GALX,7PW077
GL5T,4BR004
GL7T,21GE185
GLEX,4BR004
GLF4,11RR048
GLF5,4BR004
GLF6,4BR004
H25B,1AS001
H25C,7PW077
HA4T,01P07PW146
IL62,1KK001
IL86,1KK003
LJ35,1AS001
LJ45,1AS002
LJ55,1AS002
MD11,5GE085
MD90,1IA001
RJ85,1TL004
SU95,01P11PJ004
T154,1KK001
