ICAO,NB_ENG,TYPE_ENG,BADA3,BADA4,BADA_TYPE,ENGINE_ID
A124,4,J,A124,,J,1ZM001
A140,2,T,A140,,T,13ZM004
A148,2,J,A148,,J,13ZM004
A178,2,J,E190,,J,13ZM003
A19N,2,J,A20N,,J,01P20CM128
A20N,2,J,A20N,A320-271N,J,01P20CM128
A21N,2,J,A21N,,J,01P22PW167
A225,6,J,A124,,J,1ZM001
A306,2,J,A306,A300B4-622,J,1PW048
A30B,2,J,A30B,A300B4-203,J,3GE074
A310,2,J,A310,A310-308,J,2GE040
A318,2,J,A318,A318-112,J,7CM048
A319,2,J,A319,A319-114,J,3CM027
A320,2,J,A320,A320-214,J,3CM026
A321,2,J,A321,A321-131,J,3IA008
A332,2,J,A332,A330-203,J,5GE085
A333,2,J,A333,A330-341,J,01P14RR102
A337,2,J,B788,,J,01P14RR102
A338,2,J,A339,,J,04P24RR146
A339,2,J,A339,,J,04P24RR146
A342,4,J,A342,A340-213,J,1CM010
A343,4,J,A343,A340-313,J,2CM015
A345,4,J,A345,A340-541,J,8RR044
A346,4,J,A346,A340-642,J,8RR045
A359,2,J,A359,A350-941,J,01P18RR124
A35K,2,J,A35K,,J,01P21RR125
A388,4,J,A388,A380-861,J,9EA001
A3ST,2,J,A3ST,A300B4-608ST,J,2GE040
A748,2,T,F27,,T,RDa.7
AC50,2,P,DA62,,P,IO-540-T4A5D
AC56,2,P,C340,,P,Prop-300hp
AC68,2,P,C421,,P,Prop-500hp
AC6L,2,P,C414,,P,TSIO-520-WB
AC80,2,T,BE99,,T,TPE331-3U
AC90,2,T,PAY2,,T,TPE331-5A
AC95,2,T,PAY3,,T,TPE331-10UK
AEST,2,P,BE58,,P,TIO-540-J2B2
AJ27,2,J,A148,,J,01P11GE202
AN12,4,T,AN12,,T,BIZHEAVYPROP_F
AN2,1,P,C188,,P,Prop>500hp
AN22,4,T,AN12,,T,BIZHEAVYPROP_F
AN24,2,T,AN24,,T,AI-24VT
AN26,2,T,AN30,,T,AI-24VT
AN28,2,T,AN28,,T,PT6A-65B
AN3,1,T,Q9,,T,BIZLIGHTPROP_F
AN30,2,T,AN30,,T,AI-24VT
AN32,2,T,AN32,,T,AI-24VT
AN70,4,T,C130,,T,BIZHEAVYPROP_F
AN72,2,J,F28,,J,13ZM002
ARVA,2,T,DHC6,,T,PT6A-34
ASTR,2,J,G150,,J,1AS002
AT43,2,T,AT43,ATR42-300,T,PW120
AT44,2,T,AT45,ATR42-400,T,PW127E
AT45,2,T,AT45,ATR42-500,T,PW127E
AT46,2,T,AT45,,T,PW127
AT72,2,T,AT72,ATR72-200,T,PW124B
AT73,2,T,AT73,ATR72-210,T,PW127
AT75,2,T,AT75,ATR72-500,T,PW127F
AT76,2,T,AT76,ATR72-600,T,PW127
AT8T,1,T,PC12,,T,PT6A-67R
ATP,2,T,ATP,,T,PW126A
B190,2,T,B190,,T,PT6A-67D
B26,2,P,S2P,,P,Prop>500hp
B350,2,T,B350,,T,PT6A-60A
B37M,2,J,B38M,,J,01P20CM136
B38M,2,J,B38M,,J,01P20CM136
B39M,2,J,B39M,,J,01P20CM140
B3XM,2,J,B39M,,J,01P20CM140
B461,4,J,B462,,J,1TL003
B462,4,J,B462,,J,1TL003
B463,4,J,B463,,J,1TL003
B701,4,J,B703,,J,1PW001
B703,4,J,B703,,J,1PW001
B712,2,J,B712,B712HGW21,J,4BR005
B721,3,J,B722,,J,8PW085
B722,3,J,B722,,J,4PW070
B732,2,J,B732,B73215,J,1PW012
B733,2,J,B733,B73320,J,1CM004
B734,2,J,B734,B73423,J,1CM007
B735,2,J,B735,B73518,J,1CM007
B736,2,J,B736,B73622,J,8CM051
B737,2,J,B737,B737W24,J,3CM032
B738,2,J,B738,B738W26,J,3CM032
B739,2,J,B739,B739ERW26,J,01P11CM121
B741,4,J,B742,,J,8PW087
B742,4,J,B742,B742RR,J,1RR007
B743,4,J,B743,B743PW,J,3GE077
B744,4,J,B744,B744GE,J,4RR036
B748,4,J,B748,B748F,J,11GE139
B74R,4,J,B742,,J,2GE041
B74S,4,J,B742,,J,1RR006
B752,2,J,B752,B752WRR40,J,5RR039
B753,2,J,B753,B753RR,J,5RR039
B762,2,J,B762,B762GE50,J,2GE046
B763,2,J,B763,B763ERGE61,J,12PW101
B764,2,J,B764,B764ER,J,2GE054
B772,2,J,B772,B772RR92,J,2RR027
B773,2,J,B773,B773RR92,J,2RR027
B779,2,J,B77W,,J,01P21GE217
B77L,2,J,B77L,B772LR,J,01P21GE217
B77W,2,J,B77W,B773ERGE115B,J,01P21GE217
B788,2,J,B788,B788GE67,J,12GE150
B789,2,J,B789,B789GE75,J,12GE150
B78X,2,J,B78X,,J,01P17GE210
BA11,2,J,BA11,,J,8RR043
BCS1,2,J,B736,,J,04P20PW196
BCS3,2,J,A318,,J,04P20PW197
BE10,2,T,F406,,T,TPE331-6
BE18,2,P,DA62,,P,Prop-500hp
BE20,2,T,BE20,,T,PT6A-42
BE30,2,T,BE30,,T,PT6A-60A
BE40,2,J,BE40,,J,1PW037
BE50,2,P,C414,,P,Prop-500hp
BE55,2,P,BE55,,P,Prop-300hp
BE56,2,P,C340,,P,TIO-540-J2B2
BE58,2,P,BE58,,P,TSIO-520-WB
BE60,2,P,C414,,P,TIO-540-J2B2
BE65,2,P,C414,,P,Prop-500hp
BE76,2,P,BE76,,P,O-360-A3A
BE80,2,P,C414,,P,IO-540-T4A5D
BE95,2,P,BE76,,P,O-360-A3A
BE99,2,T,BE99,,T,PT6A-20
BE9L,2,T,BE9L,,T,PT6A-135A
BE9T,2,T,BE9L,,T,PT6A-135A
BELF,4,T,C130,,T,BIZHEAVYPROP_F
BLCF,4,J,A346,,J,1PW042
BN2P,2,P,DA62,,P,BIZLIGHTPROP_F
C130,4,T,C130,,T,501 D13 alternative 2
C208,1,T,C208,,T,PT6A-135A
C212,2,T,JS32,,T,TPE331-5A
